U165,180.9998,46.9999,165.00
U166,187.9998,46.9999,166.00
U167,194.9999,46.9999,167.00
U168,12.9999,53.9998,168.00
U169,19.9998,53.9998,169.00
U170,26.9998,53.9998,170.00
U171,33.9998,53.9998,171.00
U172,40.9998,53.9998,172.00
U173,47.9999,53.9998,173.00
U174,54.9998,53.9998,174.00
U175,61.9998,53.9998,175.00
U176,68.9999,53.9998,176.00
U177,75.9999,53.9998,177.00
U178,82.9999,53.9998,178.00
U179,89.9999,53.9998,179.00
U180,96.9999,53.9998,180.00
U181,103.9999,53.9998,181.00
U182,110.9999,53.9998,182.00
U183,117.9999,53.9998,183.00
U184,124.9998,53.9998,184.00
U185,131.9998,53.9998,185.00
U186,138.9998,53.9998,186.00
U187,145.9999,53.9998,187.00
U188,152.9999,53.9998,188.00
U189,159.9998,53.9998,189.00
U190,166.9999,53.9998,190.00
U191,173.9999,53.9998,191.00
U192,180.9998,53.9998,192.00
U193,187.9998,53.9998,193.00
U194,194.9999,53.9998,194.00
U195,12.9998,60.9998,195.00
U196,19.9998,60.9998,196.00
U197,26.9998,60.9998,197.00
U198,33.9998,60.9998,198.00
U199,40.9999,60.9998,199.00
U200,47.9999,60.9998,200.00
U201,54.9998,60.9998,201.00
U202,61.9999,60.9998,202.00
U203,68.9999,60.9998,203.00
U204,75.9999,60.9998,204.00
U205,82.9999,60.9998,205.00
U206,89.9999,60.9998,206.00
U207,96.9999,60.9998,207.00
U208,103.9998,60.9998,208.00
U209,110.9998,60.9998,209.00
U210,117.9998,60.9998,210.00
U211,124.9999,60.9998,211.00
U212,131.9998,60.9998,212.00
U213,138.9998,60.9998,213.00
U214,145.9999,60.9998,214.00
U215,152.9999,60.9998,215.00
U216,159.9998,60.9998,216.00
U217,166.9998,60.9998,217.00
U218,173.9999,60.9998,218.00
U219,12.9998,67.9998,219.00
U220,19.9999,67.9998,220.00
U221,26.9998,67.9998,221.00
U222,33.9998,67.9998,222.00
U223,40.9999,67.9998,223.00
U224,47.9999,67.9998,224.00
U225,54.9998,67.9998,225.00
U226,61.9998,67.9998,226.00
U227,68.9999,67.9998,227.00
U228,75.9999,67.9998,228.00
U229,82.9998,67.9998,229.00
U230,89.9998,67.9998,230.00
U231,96.9999,67.9998,231.00
U232,103.9998,67.9998,232.00
U233,110.9998,67.9998,233.00
U234,117.9999,67.9998,234.00
U235,124.9999,67.9998,235.00
U236,131.9998,67.9998,236.00
U237,138.9998,67.9998,237.00
U238,145.9999,67.9998,238.00
U239,152.9999,67.9998,239.00
U240,12.9998,74.9999,240.00
U241,19.9999,74.9999,241.00
U242,26.9998,74.9999,242.00
U243,33.9998,74.9999,243.00
U244,40.9999,74.9999,244.00
U245,47.9999,74.9999,245.00
U246,54.9998,74.9999,246.00
U247,61.9998,74.9999,247.00
U248,68.9999,74.9999,248.00
U249,75.9999,74.9999,249.00
U250,82.9998,74.9999,250.00
U251,89.9998,74.9999,251.00
U252,96.9999,74.9999,252.00
U253,103.9998,74.9999,253.00
U254,110.9998,74.9999,254.00
U255,117.9999,74.9999,255.00
U256,124.9999,74.9999,256.00
U257,131.9998,74.9999,257.00
U258,12.9998,81.9999,258.00
U259,19.9999,81.9999,259.00
U260,26.9998,81.9999,260.00
U261,33.9998,81.9999,261.00
U262,40.9999,81.9999,262.00
U263,47.9999,81.9999,263.00
U264,54.9998,81.9999,264.00
U265,61.9998,81.9999,265.00
U266,68.9999,81.9999,266.00
U267,75.9999,81.9999,267.00
U268,82.9998,81.9999,268.00
U269,89.9998,81.9999,269.00
U270,96.9999,81.9999,270.00
U271,103.9998,81.9999,271.00
U272,110.9998,81.9999,272.00
U273,12.9998,88.9998,273.00
U274,19.9999,88.9998,274.00
U275,26.9998,88.9998,275.00
U276,33.9998,88.9998,276.00
U277,40.9999,88.9998,277.00
U278,47.9999,88.9998,278.00
U279,54.9998,88.9998,279.00
U280,61.9998,88.9998,280.00
U281,68.9998,88.9998,281.00
U282,75.9998,88.9998,282.00
U283,82.9998,88.9998,283.00
U284,89.9998,88.9998,284.00
U285,5.9998,95.9999,285.00
U286,12.9998,95.9999,286.00
U287,19.9998,95.9999,287.00
U288,26.9998,95.9999,288.00
U289,33.9998,95.9999,289.00
U290,40.9999,95.9999,290.00
U291,47.9999,95.9999,291.00
U292,54.9998,95.9999,292.00
U293,61.9998,95.9999,293.00
U294,68.9999,95.9999,294.00
U295,5.9998,102.9998,295.00
U296,12.9998,102.9998,296.00
U297,19.9999,102.9998,297.00
U298,26.9998,102.9998,298.00
U299,33.9998,102.9998,299.00
U300,40.9999,102.9998,300.00
U301,47.9999,102.9998,301.00
U302,5.9998,109.9998,302.00
U303,12.9998,109.9998,303.00
U304,19.9999,109.9998,304.00
U305,26.9998,109.9998,305.00
U306,5.9998,116.9998,306.00
